+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 20 |       NEW |     READY |
|                 0 | 20 |     READY |   RUNNING |
|                 5 | 22 |       NEW |     READY |
|                10 | 20 |   RUNNING |   WAITING |
|                10 | 21 |       NEW |     READY |
|                10 | 21 |     READY |   RUNNING |
|                12 | 20 |   WAITING |     READY |
|                11 | 21 |   RUNNING |     READY |
|                11 | 20 |     READY |   RUNNING |
|                21 | 20 |   RUNNING |   WAITING |
|                21 | 21 |     READY |   RUNNING |
|                23 | 20 |   WAITING |     READY |
|                22 | 21 |   RUNNING |     READY |
|                22 | 20 |     READY |   RUNNING |
|                32 | 20 |   RUNNING |   WAITING |
|                32 | 21 |     READY |   RUNNING |
|                34 | 20 |   WAITING |     READY |
|                33 | 21 |   RUNNING |     READY |
|                33 | 20 |     READY |   RUNNING |
|                43 | 20 |   RUNNING |   WAITING |
|                43 | 21 |     READY |   RUNNING |
|                45 | 20 |   WAITING |     READY |
|                44 | 21 |   RUNNING |     READY |
|                44 | 20 |     READY |   RUNNING |
|                54 | 20 |   RUNNING |   WAITING |
|                54 | 21 |     READY |   RUNNING |
|                56 | 20 |   WAITING |     READY |
|                55 | 21 |   RUNNING |     READY |
|                55 | 20 |     READY |   RUNNING |
|                65 | 20 |   RUNNING |   WAITING |
|                65 | 21 |     READY |   RUNNING |
|                67 | 20 |   WAITING |     READY |
|                66 | 21 |   RUNNING |     READY |
|                66 | 20 |     READY |   RUNNING |
|                76 | 20 |   RUNNING |   WAITING |
|                76 | 21 |     READY |   RUNNING |
|                78 | 20 |   WAITING |     READY |
|                77 | 21 |   RUNNING |     READY |
|                77 | 20 |     READY |   RUNNING |
|                87 | 20 |   RUNNING |   WAITING |
|                87 | 21 |     READY |   RUNNING |
|                88 | 21 |   RUNNING |   WAITING |
|                89 | 20 |   WAITING |     READY |
|                88 | 20 |     READY |   RUNNING |
|                90 | 21 |   WAITING |     READY |
|                98 | 20 |   RUNNING |   WAITING |
|                98 | 21 |     READY |   RUNNING |
|               100 | 20 |   WAITING |     READY |
|                99 | 21 |   RUNNING |     READY |
|                99 | 20 |     READY |   RUNNING |
|               109 | 20 |   RUNNING |   WAITING |
|               109 | 21 |     READY |   RUNNING |
|               111 | 20 |   WAITING |     READY |
|               110 | 21 |   RUNNING |     READY |
|               110 | 20 |     READY |   RUNNING |
|               120 | 20 |   RUNNING |   WAITING |
|               120 | 21 |     READY |   RUNNING |
|               122 | 20 |   WAITING |     READY |
|               121 | 21 |   RUNNING |     READY |
|               121 | 20 |     READY |   RUNNING |
|               131 | 20 |   RUNNING |TERMINATED |
|               131 | 21 |     READY |   RUNNING |
|               136 | 21 |   RUNNING |   WAITING |
|               136 | 22 |     READY |   RUNNING |
|               138 | 21 |   WAITING |     READY |
|               137 | 22 |   RUNNING |     READY |
|               137 | 21 |     READY |   RUNNING |
|               145 | 21 |   RUNNING |   WAITING |
|               145 | 22 |     READY |   RUNNING |
|               147 | 21 |   WAITING |     READY |
|               146 | 22 |   RUNNING |     READY |
|               146 | 21 |     READY |   RUNNING |
|               154 | 21 |   RUNNING |   WAITING |
|               154 | 22 |     READY |   RUNNING |
|               156 | 21 |   WAITING |     READY |
|               155 | 22 |   RUNNING |     READY |
|               155 | 21 |     READY |   RUNNING |
|               163 | 21 |   RUNNING |   WAITING |
|               163 | 22 |     READY |   RUNNING |
|               165 | 21 |   WAITING |     READY |
|               164 | 22 |   RUNNING |     READY |
|               164 | 21 |     READY |   RUNNING |
|               172 | 21 |   RUNNING |   WAITING |
|               172 | 22 |     READY |   RUNNING |
|               174 | 21 |   WAITING |     READY |
|               173 | 22 |   RUNNING |     READY |
|               173 | 21 |     READY |   RUNNING |
|               181 | 21 |   RUNNING |   WAITING |
|               181 | 22 |     READY |   RUNNING |
|               183 | 21 |   WAITING |     READY |
|               182 | 22 |   RUNNING |     READY |
|               182 | 21 |     READY |   RUNNING |
|               190 | 21 |   RUNNING |   WAITING |
|               190 | 22 |     READY |   RUNNING |
|               191 | 22 |   RUNNING |   WAITING |
|               192 | 21 |   WAITING |     READY |
|               191 | 21 |     READY |   RUNNING |
|               194 | 22 |   WAITING |     READY |
|               199 | 21 |   RUNNING |   WAITING |
|               199 | 22 |     READY |   RUNNING |
|               201 | 21 |   WAITING |     READY |
|               200 | 22 |   RUNNING |     READY |
|               200 | 21 |     READY |   RUNNING |
|               208 | 21 |   RUNNING |   WAITING |
|               208 | 22 |     READY |   RUNNING |
|               210 | 21 |   WAITING |     READY |
|               209 | 22 |   RUNNING |     READY |
|               209 | 21 |     READY |   RUNNING |
|               217 | 21 |   RUNNING |   WAITING |
|               217 | 22 |     READY |   RUNNING |
|               219 | 21 |   WAITING |     READY |
|               218 | 22 |   RUNNING |     READY |
|               218 | 21 |     READY |   RUNNING |
|               220 | 21 |   RUNNING |TERMINATED |
|               220 | 22 |     READY |   RUNNING |
|               224 | 22 |   RUNNING |   WAITING |
|               227 | 22 |   WAITING |     READY |
|               226 | 22 |     READY |   RUNNING |
|               233 | 22 |   RUNNING |   WAITING |
|               236 | 22 |   WAITING |     READY |
|               235 | 22 |     READY |   RUNNING |
|               242 | 22 |   RUNNING |   WAITING |
|               245 | 22 |   WAITING |     READY |
|               244 | 22 |     READY |   RUNNING |
|               251 | 22 |   RUNNING |   WAITING |
|               254 | 22 |   WAITING |     READY |
|               253 | 22 |     READY |   RUNNING |
|               260 | 22 |   RUNNING |   WAITING |
|               263 | 22 |   WAITING |     READY |
|               262 | 22 |     READY |   RUNNING |
|               269 | 22 |   RUNNING |   WAITING |
|               272 | 22 |   WAITING |     READY |
|               271 | 22 |     READY |   RUNNING |
|               278 | 22 |   RUNNING |   WAITING |
|               281 | 22 |   WAITING |     READY |
|               280 | 22 |     READY |   RUNNING |
|               287 | 22 |   RUNNING |   WAITING |
|               290 | 22 |   WAITING |     READY |
|               289 | 22 |     READY |   RUNNING |
|               296 | 22 |   RUNNING |TERMINATED |
+------------------------------------------------+
