+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 20 |       NEW |     READY |
|                 0 | 20 |     READY |   RUNNING |
|                 5 | 22 |       NEW |     READY |
|                10 | 20 |   RUNNING |   WAITING |
|                10 | 21 |       NEW |     READY |
|                11 | 20 |   WAITING |     READY |
|                11 | 20 |     READY |   RUNNING |
|                21 | 20 |   RUNNING |   WAITING |
|                22 | 20 |   WAITING |     READY |
|                22 | 20 |     READY |   RUNNING |
|                32 | 20 |   RUNNING |   WAITING |
|                33 | 20 |   WAITING |     READY |
|                33 | 20 |     READY |   RUNNING |
|                43 | 20 |   RUNNING |   WAITING |
|                44 | 20 |   WAITING |     READY |
|                44 | 20 |     READY |   RUNNING |
|                54 | 20 |   RUNNING |   WAITING |
|                55 | 20 |   WAITING |     READY |
|                55 | 20 |     READY |   RUNNING |
|                65 | 20 |   RUNNING |   WAITING |
|                66 | 20 |   WAITING |     READY |
|                66 | 20 |     READY |   RUNNING |
|                76 | 20 |   RUNNING |   WAITING |
|                77 | 20 |   WAITING |     READY |
|                77 | 20 |     READY |   RUNNING |
|                87 | 20 |   RUNNING |   WAITING |
|                88 | 20 |   WAITING |     READY |
|                88 | 20 |     READY |   RUNNING |
|                98 | 20 |   RUNNING |   WAITING |
|                99 | 20 |   WAITING |     READY |
|                99 | 20 |     READY |   RUNNING |
|               109 | 20 |   RUNNING |   WAITING |
|               110 | 20 |   WAITING |     READY |
|               110 | 20 |     READY |   RUNNING |
|               120 | 20 |   RUNNING |   WAITING |
|               121 | 20 |   WAITING |     READY |
|               121 | 20 |     READY |   RUNNING |
|               131 | 20 |   RUNNING |TERMINATED |
|               131 | 21 |     READY |   RUNNING |
|               139 | 21 |   RUNNING |   WAITING |
|               140 | 21 |   WAITING |     READY |
|               140 | 21 |     READY |   RUNNING |
|               148 | 21 |   RUNNING |   WAITING |
|               149 | 21 |   WAITING |     READY |
|               149 | 21 |     READY |   RUNNING |
|               157 | 21 |   RUNNING |   WAITING |
|               158 | 21 |   WAITING |     READY |
|               158 | 21 |     READY |   RUNNING |
|               166 | 21 |   RUNNING |   WAITING |
|               167 | 21 |   WAITING |     READY |
|               167 | 21 |     READY |   RUNNING |
|               175 | 21 |   RUNNING |   WAITING |
|               176 | 21 |   WAITING |     READY |
|               176 | 21 |     READY |   RUNNING |
|               184 | 21 |   RUNNING |   WAITING |
|               185 | 21 |   WAITING |     READY |
|               185 | 21 |     READY |   RUNNING |
|               193 | 21 |   RUNNING |   WAITING |
|               194 | 21 |   WAITING |     READY |
|               194 | 21 |     READY |   RUNNING |
|               202 | 21 |   RUNNING |   WAITING |
|               203 | 21 |   WAITING |     READY |
|               203 | 21 |     READY |   RUNNING |
|               211 | 21 |   RUNNING |   WAITING |
|               212 | 21 |   WAITING |     READY |
|               212 | 21 |     READY |   RUNNING |
|               220 | 21 |   RUNNING |   WAITING |
|               221 | 21 |   WAITING |     READY |
|               221 | 21 |     READY |   RUNNING |
|               229 | 21 |   RUNNING |   WAITING |
|               230 | 21 |   WAITING |     READY |
|               230 | 21 |     READY |   RUNNING |
|               232 | 21 |   RUNNING |TERMINATED |
|               232 | 22 |     READY |   RUNNING |
|               239 | 22 |   RUNNING |   WAITING |
|               240 | 22 |   WAITING |     READY |
|               240 | 22 |     READY |   RUNNING |
|               247 | 22 |   RUNNING |   WAITING |
|               248 | 22 |   WAITING |     READY |
|               248 | 22 |     READY |   RUNNING |
|               255 | 22 |   RUNNING |   WAITING |
|               256 | 22 |   WAITING |     READY |
|               256 | 22 |     READY |   RUNNING |
|               263 | 22 |   RUNNING |   WAITING |
|               264 | 22 |   WAITING |     READY |
|               264 | 22 |     READY |   RUNNING |
|               271 | 22 |   RUNNING |   WAITING |
|               272 | 22 |   WAITING |     READY |
|               272 | 22 |     READY |   RUNNING |
|               279 | 22 |   RUNNING |   WAITING |
|               280 | 22 |   WAITING |     READY |
|               280 | 22 |     READY |   RUNNING |
|               287 | 22 |   RUNNING |   WAITING |
|               288 | 22 |   WAITING |     READY |
|               288 | 22 |     READY |   RUNNING |
|               295 | 22 |   RUNNING |   WAITING |
|               296 | 22 |   WAITING |     READY |
|               296 | 22 |     READY |   RUNNING |
|               303 | 22 |   RUNNING |   WAITING |
|               304 | 22 |   WAITING |     READY |
|               304 | 22 |     READY |   RUNNING |
|               311 | 22 |   RUNNING |TERMINATED |
+------------------------------------------------+
