+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 20 |       NEW |     READY |
|                 0 | 20 |     READY |   RUNNING |
|                 5 | 22 |       NEW |     READY |
|                10 | 20 |   RUNNING |   WAITING |
|                10 | 21 |       NEW |     READY |
|                10 | 22 |     READY |   RUNNING |
|                12 | 20 |   WAITING |     READY |
|                17 | 22 |   RUNNING |   WAITING |
|                17 | 21 |     READY |   RUNNING |
|                20 | 22 |   WAITING |     READY |
|                25 | 21 |   RUNNING |   WAITING |
|                25 | 20 |     READY |   RUNNING |
|                27 | 21 |   WAITING |     READY |
|                35 | 20 |   RUNNING |   WAITING |
|                35 | 22 |     READY |   RUNNING |
|                37 | 20 |   WAITING |     READY |
|                42 | 22 |   RUNNING |   WAITING |
|                42 | 21 |     READY |   RUNNING |
|                45 | 22 |   WAITING |     READY |
|                50 | 21 |   RUNNING |   WAITING |
|                50 | 20 |     READY |   RUNNING |
|                52 | 21 |   WAITING |     READY |
|                60 | 20 |   RUNNING |   WAITING |
|                60 | 22 |     READY |   RUNNING |
|                62 | 20 |   WAITING |     READY |
|                67 | 22 |   RUNNING |   WAITING |
|                67 | 21 |     READY |   RUNNING |
|                70 | 22 |   WAITING |     READY |
|                75 | 21 |   RUNNING |   WAITING |
|                75 | 20 |     READY |   RUNNING |
|                77 | 21 |   WAITING |     READY |
|                85 | 20 |   RUNNING |   WAITING |
|                85 | 22 |     READY |   RUNNING |
|                87 | 20 |   WAITING |     READY |
|                92 | 22 |   RUNNING |   WAITING |
|                92 | 21 |     READY |   RUNNING |
|                95 | 22 |   WAITING |     READY |
|               100 | 21 |   RUNNING |   WAITING |
|               100 | 20 |     READY |   RUNNING |
|               102 | 21 |   WAITING |     READY |
|               110 | 20 |   RUNNING |   WAITING |
|               110 | 22 |     READY |   RUNNING |
|               112 | 20 |   WAITING |     READY |
|               117 | 22 |   RUNNING |   WAITING |
|               117 | 21 |     READY |   RUNNING |
|               120 | 22 |   WAITING |     READY |
|               125 | 21 |   RUNNING |   WAITING |
|               125 | 20 |     READY |   RUNNING |
|               127 | 21 |   WAITING |     READY |
|               135 | 20 |   RUNNING |   WAITING |
|               135 | 22 |     READY |   RUNNING |
|               137 | 20 |   WAITING |     READY |
|               142 | 22 |   RUNNING |   WAITING |
|               142 | 21 |     READY |   RUNNING |
|               145 | 22 |   WAITING |     READY |
|               150 | 21 |   RUNNING |   WAITING |
|               150 | 20 |     READY |   RUNNING |
|               152 | 21 |   WAITING |     READY |
|               160 | 20 |   RUNNING |   WAITING |
|               160 | 22 |     READY |   RUNNING |
|               162 | 20 |   WAITING |     READY |
|               167 | 22 |   RUNNING |   WAITING |
|               167 | 21 |     READY |   RUNNING |
|               170 | 22 |   WAITING |     READY |
|               175 | 21 |   RUNNING |   WAITING |
|               175 | 20 |     READY |   RUNNING |
|               177 | 21 |   WAITING |     READY |
|               185 | 20 |   RUNNING |   WAITING |
|               185 | 22 |     READY |   RUNNING |
|               187 | 20 |   WAITING |     READY |
|               192 | 22 |   RUNNING |   WAITING |
|               192 | 21 |     READY |   RUNNING |
|               195 | 22 |   WAITING |     READY |
|               200 | 21 |   RUNNING |   WAITING |
|               200 | 20 |     READY |   RUNNING |
|               202 | 21 |   WAITING |     READY |
|               210 | 20 |   RUNNING |   WAITING |
|               210 | 22 |     READY |   RUNNING |
|               212 | 20 |   WAITING |     READY |
|               217 | 22 |   RUNNING |   WAITING |
|               217 | 21 |     READY |   RUNNING |
|               220 | 22 |   WAITING |     READY |
|               225 | 21 |   RUNNING |   WAITING |
|               225 | 20 |     READY |   RUNNING |
|               227 | 21 |   WAITING |     READY |
|               235 | 20 |   RUNNING |   WAITING |
|               235 | 22 |     READY |   RUNNING |
|               237 | 20 |   WAITING |     READY |
|               242 | 22 |   RUNNING |TERMINATED |
|               242 | 21 |     READY |   RUNNING |
|               250 | 21 |   RUNNING |   WAITING |
|               250 | 20 |     READY |   RUNNING |
|               252 | 21 |   WAITING |     READY |
|               260 | 20 |   RUNNING |   WAITING |
|               260 | 21 |     READY |   RUNNING |
|               262 | 20 |   WAITING |     READY |
|               268 | 21 |   RUNNING |   WAITING |
|               268 | 20 |     READY |   RUNNING |
|               270 | 21 |   WAITING |     READY |
|               278 | 20 |   RUNNING |TERMINATED |
|               278 | 21 |     READY |   RUNNING |
|               280 | 21 |   RUNNING |TERMINATED |
+------------------------------------------------+
