+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 10 |       NEW |     READY |
|                 0 | 11 |       NEW |     READY |
|                 0 | 10 |     READY |   RUNNING |
|                 1 | 12 |       NEW |     READY |
|                 2 | 13 |       NEW |     READY |
|                 3 | 14 |       NEW |     READY |
|                 5 | 10 |   RUNNING |   WAITING |
|                 6 | 10 |   WAITING |     READY |
|                 6 | 10 |     READY |   RUNNING |
|                11 | 10 |   RUNNING |   WAITING |
|                12 | 10 |   WAITING |     READY |
|                12 | 10 |     READY |   RUNNING |
|                17 | 10 |   RUNNING |   WAITING |
|                18 | 10 |   WAITING |     READY |
|                18 | 10 |     READY |   RUNNING |
|                23 | 10 |   RUNNING |   WAITING |
|                24 | 10 |   WAITING |     READY |
|                24 | 10 |     READY |   RUNNING |
|                29 | 10 |   RUNNING |   WAITING |
|                30 | 10 |   WAITING |     READY |
|                30 | 10 |     READY |   RUNNING |
|                35 | 10 |   RUNNING |   WAITING |
|                36 | 10 |   WAITING |     READY |
|                36 | 10 |     READY |   RUNNING |
|                41 | 10 |   RUNNING |   WAITING |
|                42 | 10 |   WAITING |     READY |
|                42 | 10 |     READY |   RUNNING |
|                47 | 10 |   RUNNING |   WAITING |
|                48 | 10 |   WAITING |     READY |
|                48 | 10 |     READY |   RUNNING |
|                53 | 10 |   RUNNING |   WAITING |
|                54 | 10 |   WAITING |     READY |
|                54 | 10 |     READY |   RUNNING |
|                59 | 10 |   RUNNING |TERMINATED |
|                59 | 11 |     READY |   RUNNING |
|                64 | 11 |   RUNNING |   WAITING |
|                65 | 11 |   WAITING |     READY |
|                65 | 11 |     READY |   RUNNING |
|                70 | 11 |   RUNNING |   WAITING |
|                71 | 11 |   WAITING |     READY |
|                71 | 11 |     READY |   RUNNING |
|                76 | 11 |   RUNNING |   WAITING |
|                77 | 11 |   WAITING |     READY |
|                77 | 11 |     READY |   RUNNING |
|                82 | 11 |   RUNNING |   WAITING |
|                83 | 11 |   WAITING |     READY |
|                83 | 11 |     READY |   RUNNING |
|                88 | 11 |   RUNNING |   WAITING |
|                89 | 11 |   WAITING |     READY |
|                89 | 11 |     READY |   RUNNING |
|                94 | 11 |   RUNNING |   WAITING |
|                95 | 11 |   WAITING |     READY |
|                95 | 11 |     READY |   RUNNING |
|               100 | 11 |   RUNNING |   WAITING |
|               101 | 11 |   WAITING |     READY |
|               101 | 11 |     READY |   RUNNING |
|               106 | 11 |   RUNNING |   WAITING |
|               107 | 11 |   WAITING |     READY |
|               107 | 11 |     READY |   RUNNING |
|               112 | 11 |   RUNNING |TERMINATED |
|               112 | 12 |     READY |   RUNNING |
|               117 | 12 |   RUNNING |   WAITING |
|               118 | 12 |   WAITING |     READY |
|               118 | 12 |     READY |   RUNNING |
|               123 | 12 |   RUNNING |   WAITING |
|               124 | 12 |   WAITING |     READY |
|               124 | 12 |     READY |   RUNNING |
|               129 | 12 |   RUNNING |   WAITING |
|               130 | 12 |   WAITING |     READY |
|               130 | 12 |     READY |   RUNNING |
|               135 | 12 |   RUNNING |   WAITING |
|               136 | 12 |   WAITING |     READY |
|               136 | 12 |     READY |   RUNNING |
|               141 | 12 |   RUNNING |   WAITING |
|               142 | 12 |   WAITING |     READY |
|               142 | 12 |     READY |   RUNNING |
|               147 | 12 |   RUNNING |   WAITING |
|               148 | 12 |   WAITING |     READY |
|               148 | 12 |     READY |   RUNNING |
|               153 | 12 |   RUNNING |   WAITING |
|               154 | 12 |   WAITING |     READY |
|               154 | 12 |     READY |   RUNNING |
|               159 | 12 |   RUNNING |   WAITING |
|               160 | 12 |   WAITING |     READY |
|               160 | 12 |     READY |   RUNNING |
|               165 | 12 |   RUNNING |   WAITING |
|               166 | 12 |   WAITING |     READY |
|               166 | 12 |     READY |   RUNNING |
|               171 | 12 |   RUNNING |   WAITING |
|               172 | 12 |   WAITING |     READY |
|               172 | 12 |     READY |   RUNNING |
|               177 | 12 |   RUNNING |   WAITING |
|               178 | 12 |   WAITING |     READY |
|               178 | 12 |     READY |   RUNNING |
|               183 | 12 |   RUNNING |TERMINATED |
|               183 | 13 |     READY |   RUNNING |
|               188 | 13 |   RUNNING |   WAITING |
|               189 | 13 |   WAITING |     READY |
|               189 | 13 |     READY |   RUNNING |
|               194 | 13 |   RUNNING |   WAITING |
|               195 | 13 |   WAITING |     READY |
|               195 | 13 |     READY |   RUNNING |
|               200 | 13 |   RUNNING |   WAITING |
|               201 | 13 |   WAITING |     READY |
|               201 | 13 |     READY |   RUNNING |
|               206 | 13 |   RUNNING |   WAITING |
|               207 | 13 |   WAITING |     READY |
|               207 | 13 |     READY |   RUNNING |
|               212 | 13 |   RUNNING |   WAITING |
|               213 | 13 |   WAITING |     READY |
|               213 | 13 |     READY |   RUNNING |
|               218 | 13 |   RUNNING |   WAITING |
|               219 | 13 |   WAITING |     READY |
|               219 | 13 |     READY |   RUNNING |
|               224 | 13 |   RUNNING |   WAITING |
|               225 | 13 |   WAITING |     READY |
|               225 | 13 |     READY |   RUNNING |
|               230 | 13 |   RUNNING |TERMINATED |
|               230 | 14 |     READY |   RUNNING |
|               235 | 14 |   RUNNING |   WAITING |
|               236 | 14 |   WAITING |     READY |
|               236 | 14 |     READY |   RUNNING |
|               241 | 14 |   RUNNING |   WAITING |
|               242 | 14 |   WAITING |     READY |
|               242 | 14 |     READY |   RUNNING |
|               247 | 14 |   RUNNING |   WAITING |
|               248 | 14 |   WAITING |     READY |
