+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 10 |       NEW |     READY |
|                 0 | 11 |       NEW |     READY |
|                 0 | 10 |     READY |   RUNNING |
|                 1 | 12 |       NEW |     READY |
|                 2 | 13 |       NEW |     READY |
|                 3 | 14 |       NEW |     READY |
|                 5 | 10 |   RUNNING |   WAITING |
|                 6 | 10 |   WAITING |     READY |
|                 5 | 10 |     READY |   RUNNING |
|                10 | 10 |   RUNNING |   WAITING |
|                11 | 10 |   WAITING |     READY |
|                10 | 10 |     READY |   RUNNING |
|                15 | 10 |   RUNNING |   WAITING |
|                16 | 10 |   WAITING |     READY |
|                15 | 10 |     READY |   RUNNING |
|                20 | 10 |   RUNNING |   WAITING |
|                21 | 10 |   WAITING |     READY |
|                20 | 10 |     READY |   RUNNING |
|                25 | 10 |   RUNNING |   WAITING |
|                26 | 10 |   WAITING |     READY |
|                25 | 10 |     READY |   RUNNING |
|                30 | 10 |   RUNNING |   WAITING |
|                31 | 10 |   WAITING |     READY |
|                30 | 10 |     READY |   RUNNING |
|                35 | 10 |   RUNNING |   WAITING |
|                36 | 10 |   WAITING |     READY |
|                35 | 10 |     READY |   RUNNING |
|                40 | 10 |   RUNNING |   WAITING |
|                41 | 10 |   WAITING |     READY |
|                40 | 10 |     READY |   RUNNING |
|                45 | 10 |   RUNNING |   WAITING |
|                46 | 10 |   WAITING |     READY |
|                45 | 10 |     READY |   RUNNING |
|                50 | 10 |   RUNNING |TERMINATED |
|                50 | 11 |     READY |   RUNNING |
|                55 | 11 |   RUNNING |   WAITING |
|                56 | 11 |   WAITING |     READY |
|                55 | 11 |     READY |   RUNNING |
|                60 | 11 |   RUNNING |   WAITING |
|                61 | 11 |   WAITING |     READY |
|                60 | 11 |     READY |   RUNNING |
|                65 | 11 |   RUNNING |   WAITING |
|                66 | 11 |   WAITING |     READY |
|                65 | 11 |     READY |   RUNNING |
|                70 | 11 |   RUNNING |   WAITING |
|                71 | 11 |   WAITING |     READY |
|                70 | 11 |     READY |   RUNNING |
|                75 | 11 |   RUNNING |   WAITING |
|                76 | 11 |   WAITING |     READY |
|                75 | 11 |     READY |   RUNNING |
|                80 | 11 |   RUNNING |   WAITING |
|                81 | 11 |   WAITING |     READY |
|                80 | 11 |     READY |   RUNNING |
|                85 | 11 |   RUNNING |   WAITING |
|                86 | 11 |   WAITING |     READY |
|                85 | 11 |     READY |   RUNNING |
|                90 | 11 |   RUNNING |   WAITING |
|                91 | 11 |   WAITING |     READY |
|                90 | 11 |     READY |   RUNNING |
|                95 | 11 |   RUNNING |TERMINATED |
|                95 | 12 |     READY |   RUNNING |
|               100 | 12 |   RUNNING |   WAITING |
|               101 | 12 |   WAITING |     READY |
|               100 | 12 |     READY |   RUNNING |
|               105 | 12 |   RUNNING |   WAITING |
|               106 | 12 |   WAITING |     READY |
|               105 | 12 |     READY |   RUNNING |
|               110 | 12 |   RUNNING |   WAITING |
|               111 | 12 |   WAITING |     READY |
|               110 | 12 |     READY |   RUNNING |
|               115 | 12 |   RUNNING |   WAITING |
|               116 | 12 |   WAITING |     READY |
|               115 | 12 |     READY |   RUNNING |
|               120 | 12 |   RUNNING |   WAITING |
|               121 | 12 |   WAITING |     READY |
|               120 | 12 |     READY |   RUNNING |
|               125 | 12 |   RUNNING |   WAITING |
|               126 | 12 |   WAITING |     READY |
|               125 | 12 |     READY |   RUNNING |
|               130 | 12 |   RUNNING |   WAITING |
|               131 | 12 |   WAITING |     READY |
|               130 | 12 |     READY |   RUNNING |
|               135 | 12 |   RUNNING |   WAITING |
|               136 | 12 |   WAITING |     READY |
|               135 | 12 |     READY |   RUNNING |
|               140 | 12 |   RUNNING |   WAITING |
|               141 | 12 |   WAITING |     READY |
|               140 | 12 |     READY |   RUNNING |
|               145 | 12 |   RUNNING |   WAITING |
|               146 | 12 |   WAITING |     READY |
|               145 | 12 |     READY |   RUNNING |
|               150 | 12 |   RUNNING |   WAITING |
|               151 | 12 |   WAITING |     READY |
|               150 | 12 |     READY |   RUNNING |
|               155 | 12 |   RUNNING |TERMINATED |
|               155 | 13 |     READY |   RUNNING |
|               160 | 13 |   RUNNING |   WAITING |
|               161 | 13 |   WAITING |     READY |
|               160 | 13 |     READY |   RUNNING |
|               165 | 13 |   RUNNING |   WAITING |
|               166 | 13 |   WAITING |     READY |
|               165 | 13 |     READY |   RUNNING |
|               170 | 13 |   RUNNING |   WAITING |
|               171 | 13 |   WAITING |     READY |
|               170 | 13 |     READY |   RUNNING |
|               175 | 13 |   RUNNING |   WAITING |
|               176 | 13 |   WAITING |     READY |
|               175 | 13 |     READY |   RUNNING |
|               180 | 13 |   RUNNING |   WAITING |
|               181 | 13 |   WAITING |     READY |
|               180 | 13 |     READY |   RUNNING |
|               185 | 13 |   RUNNING |   WAITING |
|               186 | 13 |   WAITING |     READY |
|               185 | 13 |     READY |   RUNNING |
|               190 | 13 |   RUNNING |   WAITING |
|               191 | 13 |   WAITING |     READY |
|               190 | 13 |     READY |   RUNNING |
|               195 | 13 |   RUNNING |TERMINATED |
|               195 | 14 |     READY |   RUNNING |
|               200 | 14 |   RUNNING |   WAITING |
|               201 | 14 |   WAITING |     READY |
|               200 | 14 |     READY |   RUNNING |
|               205 | 14 |   RUNNING |   WAITING |
|               206 | 14 |   WAITING |     READY |
|               205 | 14 |     READY |   RUNNING |
|               210 | 14 |   RUNNING |   WAITING |
|               211 | 14 |   WAITING |     READY |
