+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 30 |       NEW |     READY |
|                 0 | 31 |       NEW |     READY |
|                 0 | 30 |     READY |   RUNNING |
|                 1 | 32 |       NEW |     READY |
|                 3 | 30 |   RUNNING |   WAITING |
|                 4 | 30 |   WAITING |     READY |
|                 3 | 31 |     READY |   RUNNING |
|                 6 | 31 |   RUNNING |   WAITING |
|                 7 | 31 |   WAITING |     READY |
|                 6 | 32 |     READY |   RUNNING |
|                 9 | 32 |   RUNNING |   WAITING |
|                10 | 32 |   WAITING |     READY |
|                 9 | 30 |     READY |   RUNNING |
|                12 | 30 |   RUNNING |   WAITING |
|                13 | 30 |   WAITING |     READY |
|                12 | 31 |     READY |   RUNNING |
|                15 | 31 |   RUNNING |   WAITING |
|                16 | 31 |   WAITING |     READY |
|                15 | 32 |     READY |   RUNNING |
|                18 | 32 |   RUNNING |   WAITING |
|                19 | 32 |   WAITING |     READY |
|                18 | 30 |     READY |   RUNNING |
|                21 | 30 |   RUNNING |   WAITING |
|                22 | 30 |   WAITING |     READY |
|                21 | 31 |     READY |   RUNNING |
|                24 | 31 |   RUNNING |   WAITING |
|                25 | 31 |   WAITING |     READY |
|                24 | 32 |     READY |   RUNNING |
|                27 | 32 |   RUNNING |   WAITING |
|                28 | 32 |   WAITING |     READY |
|                27 | 30 |     READY |   RUNNING |
|                30 | 30 |   RUNNING |   WAITING |
|                31 | 30 |   WAITING |     READY |
|                30 | 31 |     READY |   RUNNING |
|                33 | 31 |   RUNNING |   WAITING |
|                34 | 31 |   WAITING |     READY |
|                33 | 32 |     READY |   RUNNING |
|                36 | 32 |   RUNNING |   WAITING |
|                37 | 32 |   WAITING |     READY |
|                36 | 30 |     READY |   RUNNING |
|                39 | 30 |   RUNNING |   WAITING |
|                40 | 30 |   WAITING |     READY |
|                39 | 31 |     READY |   RUNNING |
|                42 | 31 |   RUNNING |   WAITING |
|                43 | 31 |   WAITING |     READY |
|                42 | 32 |     READY |   RUNNING |
|                45 | 32 |   RUNNING |   WAITING |
|                46 | 32 |   WAITING |     READY |
|                45 | 30 |     READY |   RUNNING |
|                48 | 30 |   RUNNING |   WAITING |
|                49 | 30 |   WAITING |     READY |
|                48 | 31 |     READY |   RUNNING |
|                51 | 31 |   RUNNING |   WAITING |
|                52 | 31 |   WAITING |     READY |
|                51 | 32 |     READY |   RUNNING |
|                54 | 32 |   RUNNING |   WAITING |
|                55 | 32 |   WAITING |     READY |
|                54 | 30 |     READY |   RUNNING |
|                57 | 30 |   RUNNING |   WAITING |
|                58 | 30 |   WAITING |     READY |
|                57 | 31 |     READY |   RUNNING |
|                60 | 31 |   RUNNING |   WAITING |
|                61 | 31 |   WAITING |     READY |
|                60 | 32 |     READY |   RUNNING |
|                63 | 32 |   RUNNING |   WAITING |
|                64 | 32 |   WAITING |     READY |
|                63 | 30 |     READY |   RUNNING |
|                66 | 30 |   RUNNING |   WAITING |
|                67 | 30 |   WAITING |     READY |
|                66 | 31 |     READY |   RUNNING |
|                69 | 31 |   RUNNING |   WAITING |
|                70 | 31 |   WAITING |     READY |
|                69 | 32 |     READY |   RUNNING |
|                72 | 32 |   RUNNING |   WAITING |
|                73 | 32 |   WAITING |     READY |
|                72 | 30 |     READY |   RUNNING |
|                75 | 30 |   RUNNING |   WAITING |
|                76 | 30 |   WAITING |     READY |
|                75 | 31 |     READY |   RUNNING |
|                78 | 31 |   RUNNING |   WAITING |
|                79 | 31 |   WAITING |     READY |
|                78 | 32 |     READY |   RUNNING |
|                81 | 32 |   RUNNING |   WAITING |
|                82 | 32 |   WAITING |     READY |
|                81 | 30 |     READY |   RUNNING |
|                84 | 30 |   RUNNING |TERMINATED |
|                84 | 31 |     READY |   RUNNING |
|                87 | 31 |   RUNNING |TERMINATED |
|                87 | 32 |     READY |   RUNNING |
|                90 | 32 |   RUNNING |TERMINATED |
+------------------------------------------------+
