+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 10 |       NEW |     READY |
|                 0 | 11 |       NEW |     READY |
|                 0 | 10 |     READY |   RUNNING |
|                 1 | 12 |       NEW |     READY |
|                 2 | 13 |       NEW |     READY |
|                 3 | 14 |       NEW |     READY |
|                 5 | 10 |   RUNNING |   WAITING |
|                 6 | 10 |   WAITING |     READY |
|                 5 | 11 |     READY |   RUNNING |
|                10 | 11 |   RUNNING |   WAITING |
|                11 | 11 |   WAITING |     READY |
|                10 | 12 |     READY |   RUNNING |
|                15 | 12 |   RUNNING |   WAITING |
|                16 | 12 |   WAITING |     READY |
|                15 | 13 |     READY |   RUNNING |
|                20 | 13 |   RUNNING |   WAITING |
|                21 | 13 |   WAITING |     READY |
|                20 | 14 |     READY |   RUNNING |
|                25 | 14 |   RUNNING |   WAITING |
|                26 | 14 |   WAITING |     READY |
|                25 | 10 |     READY |   RUNNING |
|                30 | 10 |   RUNNING |   WAITING |
|                31 | 10 |   WAITING |     READY |
|                30 | 11 |     READY |   RUNNING |
|                35 | 11 |   RUNNING |   WAITING |
|                36 | 11 |   WAITING |     READY |
|                35 | 12 |     READY |   RUNNING |
|                40 | 12 |   RUNNING |   WAITING |
|                41 | 12 |   WAITING |     READY |
|                40 | 13 |     READY |   RUNNING |
|                45 | 13 |   RUNNING |   WAITING |
|                46 | 13 |   WAITING |     READY |
|                45 | 14 |     READY |   RUNNING |
|                50 | 14 |   RUNNING |   WAITING |
|                51 | 14 |   WAITING |     READY |
|                50 | 10 |     READY |   RUNNING |
|                55 | 10 |   RUNNING |   WAITING |
|                56 | 10 |   WAITING |     READY |
|                55 | 11 |     READY |   RUNNING |
|                60 | 11 |   RUNNING |   WAITING |
|                61 | 11 |   WAITING |     READY |
|                60 | 12 |     READY |   RUNNING |
|                65 | 12 |   RUNNING |   WAITING |
|                66 | 12 |   WAITING |     READY |
|                65 | 13 |     READY |   RUNNING |
|                70 | 13 |   RUNNING |   WAITING |
|                71 | 13 |   WAITING |     READY |
|                70 | 14 |     READY |   RUNNING |
|                75 | 14 |   RUNNING |   WAITING |
|                76 | 14 |   WAITING |     READY |
|                75 | 10 |     READY |   RUNNING |
|                80 | 10 |   RUNNING |   WAITING |
|                81 | 10 |   WAITING |     READY |
|                80 | 11 |     READY |   RUNNING |
|                85 | 11 |   RUNNING |   WAITING |
|                86 | 11 |   WAITING |     READY |
|                85 | 12 |     READY |   RUNNING |
|                90 | 12 |   RUNNING |   WAITING |
|                91 | 12 |   WAITING |     READY |
|                90 | 13 |     READY |   RUNNING |
|                95 | 13 |   RUNNING |   WAITING |
|                96 | 13 |   WAITING |     READY |
|                95 | 14 |     READY |   RUNNING |
|               100 | 14 |   RUNNING |   WAITING |
|               101 | 14 |   WAITING |     READY |
|               100 | 10 |     READY |   RUNNING |
|               105 | 10 |   RUNNING |   WAITING |
|               106 | 10 |   WAITING |     READY |
|               105 | 11 |     READY |   RUNNING |
|               110 | 11 |   RUNNING |   WAITING |
|               111 | 11 |   WAITING |     READY |
|               110 | 12 |     READY |   RUNNING |
|               115 | 12 |   RUNNING |   WAITING |
|               116 | 12 |   WAITING |     READY |
|               115 | 13 |     READY |   RUNNING |
|               120 | 13 |   RUNNING |   WAITING |
|               121 | 13 |   WAITING |     READY |
|               120 | 14 |     READY |   RUNNING |
|               125 | 14 |   RUNNING |   WAITING |
|               126 | 14 |   WAITING |     READY |
|               125 | 10 |     READY |   RUNNING |
|               130 | 10 |   RUNNING |   WAITING |
|               131 | 10 |   WAITING |     READY |
|               130 | 11 |     READY |   RUNNING |
|               135 | 11 |   RUNNING |   WAITING |
|               136 | 11 |   WAITING |     READY |
|               135 | 12 |     READY |   RUNNING |
|               140 | 12 |   RUNNING |   WAITING |
|               141 | 12 |   WAITING |     READY |
|               140 | 13 |     READY |   RUNNING |
|               145 | 13 |   RUNNING |   WAITING |
|               146 | 13 |   WAITING |     READY |
|               145 | 14 |     READY |   RUNNING |
|               150 | 14 |   RUNNING |   WAITING |
|               151 | 14 |   WAITING |     READY |
|               150 | 10 |     READY |   RUNNING |
|               155 | 10 |   RUNNING |   WAITING |
|               156 | 10 |   WAITING |     READY |
|               155 | 11 |     READY |   RUNNING |
|               160 | 11 |   RUNNING |   WAITING |
|               161 | 11 |   WAITING |     READY |
|               160 | 12 |     READY |   RUNNING |
|               165 | 12 |   RUNNING |   WAITING |
|               166 | 12 |   WAITING |     READY |
|               165 | 13 |     READY |   RUNNING |
|               170 | 13 |   RUNNING |   WAITING |
|               171 | 13 |   WAITING |     READY |
|               170 | 14 |     READY |   RUNNING |
|               175 | 14 |   RUNNING |   WAITING |
|               176 | 14 |   WAITING |     READY |
|               175 | 10 |     READY |   RUNNING |
|               180 | 10 |   RUNNING |   WAITING |
|               181 | 10 |   WAITING |     READY |
|               180 | 11 |     READY |   RUNNING |
|               185 | 11 |   RUNNING |   WAITING |
|               186 | 11 |   WAITING |     READY |
|               185 | 12 |     READY |   RUNNING |
|               190 | 12 |   RUNNING |   WAITING |
|               191 | 12 |   WAITING |     READY |
|               190 | 13 |     READY |   RUNNING |
|               195 | 13 |   RUNNING |TERMINATED |
|               195 | 14 |     READY |   RUNNING |
|               200 | 14 |   RUNNING |   WAITING |
|               201 | 14 |   WAITING |     READY |
|               200 | 10 |     READY |   RUNNING |
|               205 | 10 |   RUNNING |   WAITING |
|               206 | 10 |   WAITING |     READY |
