+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 30 |       NEW |     READY |
|                 0 | 31 |       NEW |     READY |
|                 0 | 30 |     READY |   RUNNING |
|                 1 | 32 |       NEW |     READY |
|                 3 | 30 |   RUNNING |   WAITING |
|                 4 | 30 |   WAITING |     READY |
|                 3 | 30 |     READY |   RUNNING |
|                 6 | 30 |   RUNNING |   WAITING |
|                 7 | 30 |   WAITING |     READY |
|                 6 | 30 |     READY |   RUNNING |
|                 9 | 30 |   RUNNING |   WAITING |
|                10 | 30 |   WAITING |     READY |
|                 9 | 30 |     READY |   RUNNING |
|                12 | 30 |   RUNNING |   WAITING |
|                13 | 30 |   WAITING |     READY |
|                12 | 30 |     READY |   RUNNING |
|                15 | 30 |   RUNNING |   WAITING |
|                16 | 30 |   WAITING |     READY |
|                15 | 30 |     READY |   RUNNING |
|                18 | 30 |   RUNNING |   WAITING |
|                19 | 30 |   WAITING |     READY |
|                18 | 30 |     READY |   RUNNING |
|                21 | 30 |   RUNNING |   WAITING |
|                22 | 30 |   WAITING |     READY |
|                21 | 30 |     READY |   RUNNING |
|                24 | 30 |   RUNNING |   WAITING |
|                25 | 30 |   WAITING |     READY |
|                24 | 30 |     READY |   RUNNING |
|                27 | 30 |   RUNNING |   WAITING |
|                28 | 30 |   WAITING |     READY |
|                27 | 30 |     READY |   RUNNING |
|                30 | 30 |   RUNNING |TERMINATED |
|                30 | 31 |     READY |   RUNNING |
|                33 | 31 |   RUNNING |   WAITING |
|                34 | 31 |   WAITING |     READY |
|                33 | 31 |     READY |   RUNNING |
|                36 | 31 |   RUNNING |   WAITING |
|                37 | 31 |   WAITING |     READY |
|                36 | 31 |     READY |   RUNNING |
|                39 | 31 |   RUNNING |   WAITING |
|                40 | 31 |   WAITING |     READY |
|                39 | 31 |     READY |   RUNNING |
|                42 | 31 |   RUNNING |   WAITING |
|                43 | 31 |   WAITING |     READY |
|                42 | 31 |     READY |   RUNNING |
|                45 | 31 |   RUNNING |   WAITING |
|                46 | 31 |   WAITING |     READY |
|                45 | 31 |     READY |   RUNNING |
|                48 | 31 |   RUNNING |   WAITING |
|                49 | 31 |   WAITING |     READY |
|                48 | 31 |     READY |   RUNNING |
|                51 | 31 |   RUNNING |   WAITING |
|                52 | 31 |   WAITING |     READY |
|                51 | 31 |     READY |   RUNNING |
|                54 | 31 |   RUNNING |   WAITING |
|                55 | 31 |   WAITING |     READY |
|                54 | 31 |     READY |   RUNNING |
|                57 | 31 |   RUNNING |   WAITING |
|                58 | 31 |   WAITING |     READY |
|                57 | 31 |     READY |   RUNNING |
|                60 | 31 |   RUNNING |TERMINATED |
|                60 | 32 |     READY |   RUNNING |
|                63 | 32 |   RUNNING |   WAITING |
|                64 | 32 |   WAITING |     READY |
|                63 | 32 |     READY |   RUNNING |
|                66 | 32 |   RUNNING |   WAITING |
|                67 | 32 |   WAITING |     READY |
|                66 | 32 |     READY |   RUNNING |
|                69 | 32 |   RUNNING |   WAITING |
|                70 | 32 |   WAITING |     READY |
|                69 | 32 |     READY |   RUNNING |
|                72 | 32 |   RUNNING |   WAITING |
|                73 | 32 |   WAITING |     READY |
|                72 | 32 |     READY |   RUNNING |
|                75 | 32 |   RUNNING |   WAITING |
|                76 | 32 |   WAITING |     READY |
|                75 | 32 |     READY |   RUNNING |
|                78 | 32 |   RUNNING |   WAITING |
|                79 | 32 |   WAITING |     READY |
|                78 | 32 |     READY |   RUNNING |
|                81 | 32 |   RUNNING |   WAITING |
|                82 | 32 |   WAITING |     READY |
|                81 | 32 |     READY |   RUNNING |
|                84 | 32 |   RUNNING |   WAITING |
|                85 | 32 |   WAITING |     READY |
|                84 | 32 |     READY |   RUNNING |
|                87 | 32 |   RUNNING |   WAITING |
|                88 | 32 |   WAITING |     READY |
|                87 | 32 |     READY |   RUNNING |
|                90 | 32 |   RUNNING |TERMINATED |
+------------------------------------------------+
